02/11/2020 13:42:47 COMport: COM5
02/11/2020 13:42:50 Group: 11
02/11/2020 13:43:05 Subsystem: 1
02/11/2020 13:43:05 Start QTP3: 1
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
02/11/2020 13:43:07 Read: [16, 0, 71, 0]
